date,state,device,type,message,illuminance,linkquality,occupancy,temperature,description,humidity,winddirection,precipitation,pressure,windspeed,battery,voltage,contact
2019-02-13 06:21:48,,,,,,5.0,,13.01,,87.39,,,1022.28,,55.0,2995.0,
2019-02-13 06:35:54,,,,,,0.0,,,,,,,,,37.0,2975.0,True
2019-02-13 07:00:05,,,,,,,,7.9,"Porto, Massarelos @ 2019-02-13T06:00",70.0,,0.0,,,,,
2019-02-13 07:08:54,,,,,,0.0,,12.82,,88.01,,,1022.45,,55.0,2995.0,
2019-02-13 07:08:54,,,,,,0.0,,12.82,,88.56,,,1022.0,,55.0,2995.0,
2019-02-13 07:21:58,,,,,,0.0,,12.82,,88.56,,,1022.0,,55.0,2995.0,
2019-02-13 07:26:18,,,,,,0.0,,,,,,,,,37.0,2975.0,True
2019-02-13 07:26:18,,,,,,0.0,,,,,,,,,37.0,2975.0,True
2019-02-13 08:00:05,,,,,,,,7.7,"Porto, Massarelos @ 2019-02-13T07:00",71.0,,0.0,,,,,
2019-02-13 08:07:43,,,,,,2.0,,12.78,,88.97,,,1022.57,,55.0,2995.0,
2019-02-13 08:07:43,,,,,,0.0,,12.78,,88.97,,,1022.0,,55.0,2995.0,
2019-02-13 08:13:15,,,,,,0.0,,12.78,,88.97,,,1022.0,,55.0,2995.0,
2019-02-13 08:16:41,,,,,,0.0,,,,,,,,,37.0,2975.0,True
2019-02-13 08:16:41,,,,,,0.0,,,,,,,,,37.0,2975.0,True
2019-02-13 08:17:41,,,,,,0.0,,,,,,,,,37.0,2975.0,False
2019-02-13 08:17:55,,,,,,0.0,,,,,,,,,37.0,2975.0,True
2019-02-13 09:00:05,,,,,,,,7.4,"Porto, Massarelos @ 2019-02-13T08:00",72.0,,0.0,,,,,
2019-02-13 09:08:33,,,,,,0.0,,,,,,,,,37.0,2975.0,True
2019-02-13 09:08:33,,,,,,0.0,,,,,,,,,37.0,2975.0,True
2019-02-13 09:08:43,,,,,,0.0,,12.74,,89.02,,,1022.86,,55.0,2995.0,
